"","ds","Month","Temp","ID","mass","mass_prev","SGR","SGR_2m","SMR","SMR_mass","SMR_resid","SMR_prev","SMR_mass_prev","MMR","MMR_mass","MMR_prev","MMR_mass_prev","Ratio","Ratio_linear","log_SMR","log_MMR","log_mass"
"56","B1","September","18","B1_13",2.82,1.84,1.377326817,NA,0.487789969,NA,0.01591935,0.354012275,NA,1.442830192,NA,1.264311684,NA,NA,NA,-0.311767134839715,0.159215221587694,0.450249108319361
"57","B1","May","18","B1_14",2.04,1.87,NA,0.579749416194564,0.430312422,NA,0.07120696,0.289078303,NA,1.156920499,NA,1.031587798,NA,NA,NA,-0.366216116784778,0.0633035162275641,0.309630167425899
"58","B1","June","18","B1_14",2.47,2.04,0.796951428,0.412421591162506,0.469632901,NA,0.044357706,0.430312422,NA,1.567965566,NA,1.156920499,NA,NA,NA,-0.32824148539284,0.195336520937453,0.392696953259666
"59","B1","July","18","B1_14",2.57,2.47,0.124024213,-0.321610422272443,0.355194971,NA,-0.090384809,0.469632901,NA,1.355717172,NA,1.567965566,NA,81.5403980109544,80.6984722437519,-0.449533191774098,0.132169097015393,0.409933123331295
"60","B1","August","18","B1_14",2.03,2.57,-0.813345193,0.312493687639954,0.295602519,NA,-0.090203355,0.355194971,NA,1.182649042,NA,1.355717172,NA,67.8339818,67.8339818,-0.529291869387027,0.0728558843268528,0.307496037913213
"61","B1","September","18","B1_14",3.1,2.03,1.365697801,NA,0.549264345,NA,0.035384341,0.295602519,NA,1.798580225,NA,1.182649042,NA,NA,NA,-0.260218591898596,0.254929814129931,0.491361693834273
"62","B1","May","18","B1_15",1.76,1.55,NA,0.710562387228838,0.310278296,NA,-0.020789337,0.256557951,NA,1.316267554,NA,0.822239261,NA,NA,NA,-0.50824860229885,0.119344176067807,0.24551266781415
"63","B1","June","18","B1_15",2.18,1.76,0.891712782,0.446519650418096,0.342142492,NA,-0.050865476,0.310278296,NA,1.311763693,NA,1.316267554,NA,NA,NA,-0.465792985753148,0.117855606328202,0.338456493604605
"64","B1","July","18","B1_15",2.26,2.18,0.112624802,-0.234013192999093,0.283729282,NA,-0.144382839,0.342142492,NA,1.289489285,NA,1.311763693,NA,78.9263906109544,68.3469499062499,-0.54709584095856,0.110417737722729,0.354108439147401
"65","B1","August","18","B1_15",1.89,2.26,-0.61651029,0.510521247191519,0.268713582,NA,-0.107403287,0.283729282,NA,1.112670127,NA,1.289489285,NA,68.9295039,68.9295039,-0.570710381804345,0.0463664282538848,0.276461804173244
"66","B1","September","18","B1_15",3.07,1.89,1.564841073,NA,0.496076865,NA,-0.005552288,0.268713582,NA,1.556794441,NA,1.112670127,NA,NA,NA,-0.304451026213401,0.192231272148753,0.487138375477186
"67","B1","May","18","B1_16",2.6,2.19,NA,0.669490182413269,0.351662526,NA,-0.098658831,0.322640767,NA,1.27568011,NA,0.963745551,NA,NA,NA,-0.453873908676297,0.105741784197851,0.414973347970818
"68","B1","June","18","B1_16",3.02,2.6,0.62393911,0.515434194520235,0.571553945,NA,0.061521211,0.351662526,NA,1.665815659,NA,1.27568011,NA,NA,NA,-0.242942773299867,0.221626940222873,0.480006942957151
"69","B1","July","18","B1_16",3.47,3.02,0.434055508,0,0.570043023,NA,0.013296957,0.571553945,NA,1.29176804,NA,1.665815659,NA,85.7292819109544,92.5972373437526,-0.244092365474208,0.111184535336915,0.540329474790874
"70","B1","August","18","B1_16",3.02,3.47,-0.478957802,0.602125495129656,0.545678496,NA,0.041400824,0.570043023,NA,1.355889928,NA,1.29176804,NA,69.0857681,69.0857681,-0.263063160478449,0.132224434661926,0.480006942957151
"71","B1","September","18","B1_16",4.98,3.02,1.613461483,NA,0.860969173,NA,0.069934978,0.545678496,NA,2.22238711,NA,1.355889928,NA,NA,NA,-0.065012398181269,0.346819709462607,0.697229342759718
"72","B1","May","18","B1_17",2.14,2.06,NA,0.599489889802111,0.389768025,NA,0.012010118,0.018127184,NA,0.843113391,NA,0.557404873,NA,NA,NA,-0.409193791528408,-0.0741140128320271,0.330413773349191
"73","B1","June","18","B1_17",2.78,2.14,1.090187911,0.972893980390492,0.462173052,NA,-0.002667158,0.389768025,NA,1.567748238,NA,0.843113391,NA,NA,NA,-0.335195380598335,0.195276321341945,0.444044795918076
"74","B1","July","18","B1_17",3.69,2.78,0.884923532,0.377560722611184,0.430842269,NA,-0.129126166,0.462173052,NA,1.238090541,NA,1.567748238,NA,74.9692149374128,73.4080696294086,-0.365681695594729,0.0927524056040271,0.56702636615906
"75","B1","August","18","B1_17",3.5,3.69,-0.182287895,-0.0597765219808277,0.592439723,NA,0.027115977,0.430842269,NA,1.195049469,NA,1.238090541,NA,62.3336745,62.3336745,-0.227355829790706,0.0773858832498907,0.544068044350276
"76","B1","September","18","B1_17",3.56,3.5,0.054830892,NA,0.475779671,NA,-0.07388306,0.592439723,NA,1.441215038,NA,1.195049469,NA,NA,NA,-0.322594118333088,0.15872878501197,0.551449997972875
"77","B1","May","18","B1_18",3.12,1.85,NA,1.90268954466518,0.486539918,NA,-0.01945812,0.057273156,NA,1.68768402,NA,0.73903604,NA,NA,NA,-0.312881522392671,0.227291138251711,0.494154594018443
