Resp_Day,ID_fish,chamber_ch,Temp_class,RMR,RMR_var,RMR_perc,time_start,time_end,mass,length,volume_net,SMR,MMR,log_mass,Month,resid,SMR_mass,SMR_resid,RMR_mass,RMR_resid,MMR_mass,MMR_resid,Rack,Bin,TagID,Final_Mass_g,Final_Length_mm,Gonad_mass_g,Sex,Fat_mass_g,Ventricle_mass_g,Otolith_age_y,mass_prev,SGR,Period_start,Period_end,SMR_prev,SMR_mass_prev,RMR_prev,RMR_mass_prev,MMR_prev,MMR_mass_prev,Overall_SGR,SGR_predict,SGR_resid,time,Month_int,GutRatio_1,GutRatio_2,Location,Density_tagged,Density,Density_diff
3,118,A2,18,0.222790081,NA,NA,29/04/2023 14:09,30/04/2023 9:02,1.99,67,708.01,0.096031952,1.033690657,0.298853076,April,NA,0.493786377,NA,0.576923909,NA,1.312562858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,119,A3,18,0.542332341,NA,NA,29/04/2023 14:09,30/04/2023 9:02,2.12,77,707.88,0.314216497,1.107369733,0.326335861,April,NA,0.396605566,NA,0.644279504,NA,1.334018947,NA,3,10,BL,6.86,106,0.022,M,0.477,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,120,B2,18,0.104050134,NA,NA,29/04/2023 14:09,30/04/2023 9:02,0.44,51,709.56,0.025543341,0.504962507,-0.356547324,April,NA,0.349298703,NA,0.525637997,NA,1.485577469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,121,C4,18,0.452693118,NA,NA,29/04/2023 14:09,30/04/2023 9:02,1.85,71,708.15,0.287265817,1.291715002,0.267171728,April,NA,0.370584282,NA,0.612860077,NA,1.969046596,NA,3,11,YL,3.76,88,5.00E-04,I,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,122,D2,18,0.317466989,NA,NA,29/04/2023 14:09,30/04/2023 9:02,1.91,72,708.09,0.078041323,1.446041148,0.281033367,April,NA,0.549717913,NA,0.880018427,NA,1.774550139,NA,3,11,YR,3.04,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,123,C2,18,0.202544074,NA,NA,29/04/2023 14:09,30/04/2023 9:02,0.42,51,709.58,0.109076713,0.573583691,-0.37675071,April,NA,0.355734559,NA,0.540551938,NA,1.071143384,NA,3,11,BrL,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,124,C3,18,0.419371925,NA,NA,29/04/2023 14:09,30/04/2023 9:02,2.09,73,707.91,0.310837558,0.949694232,0.320146286,April,NA,0.482909817,NA,0.637941404,NA,1.414098162,NA,3,11,BrR,8.64,112,0.041,M,0.354,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,125,D3,18,0.35324629,NA,NA,29/04/2023 14:09,30/04/2023 9:02,1.99,75,708.01,0.090661822,1.224054039,0.298853076,April,NA,0.383423302,NA,0.645818618,NA,1.634800653,NA,3,11,RL,4.21,93,0.034,F,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,126,D1,18,0.356338122,NA,NA,29/04/2023 14:09,30/04/2023 9:02,1.27,76,708.73,0.16897427,1.408041885,0.103803721,April,NA,0.318306211,NA,0.44629419,NA,1.511924508,NA,3,11,RR,5.52,100,0.108,F,0.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
3,127,D4,18,0.442845822,NA,NA,29/04/2023 14:09,30/04/2023 9:02,1.74,71,708.26,0.155269658,0.840070282,0.240549248,April,NA,0.497962813,NA,0.729132681,NA,1.561268686,NA,3,11,BL,8.15,110,0.13,M,0.473,0.008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
